,identifier,genre,genreId
268,com.app.pepperfry,Shopping,SHOPPING
269,com.evamall.evacustomer,Shopping,SHOPPING
270,com.tul.tatacliq,Shopping,SHOPPING
271,com.shopclues,Shopping,SHOPPING
272,com.bewakoof.bewakoof,Shopping,SHOPPING
273,com.fsn.nds,Shopping,SHOPPING
274,com.fsn.nykaa,Shopping,SHOPPING
275,com.applications.lifestyle,Shopping,SHOPPING
276,com.applications.homecentre,Shopping,SHOPPING
277,com.fabindia.shopping,Shopping,SHOPPING
278,com.acko.android,Finance,FINANCE
279,com.icicilombard.mcust,Finance,FINANCE
280,com.pms.activity,Business,BUSINESS
281,com.orientalinsurance,Finance,FINANCE
282,com.star.customer_app,Business,BUSINESS
283,com.maxbupa.healthapp,Health & Fitness,HEALTH_AND_FITNESS
284,com.religarepartner,Finance,FINANCE
285,io.cordova.myapp53513c,Business,BUSINESS
286,com.godigit.digit,Business,BUSINESS
287,com.iffcotokio.CustomerApp,Business,BUSINESS
288,com.nia.customer,Business,BUSINESS
289,com.lic.liccustomer,Finance,FINANCE
290,com.ipru.iciciprulife.customer.release,Finance,FINANCE
291,com.hdfcclife.activities,Finance,FINANCE
292,com.lic.licpaydirect,Finance,FINANCE
293,bajaj.customer.screens,Business,BUSINESS
294,air.TataAIA.MasterApp.SecureLife,Finance,FINANCE
295,com.idbifederal,Finance,FINANCE
296,com.aviva.mobile,Finance,FINANCE
297,com.svs.slic,Business,BUSINESS
298,com.sbilife.project,Finance,FINANCE
299,com.bsli.eapp,Business,BUSINESS
300,com.adityabirlahealth.insurance,Health & Fitness,HEALTH_AND_FITNESS
301,com.aranoah.healthkart.plus,Medical,MEDICAL
302,com.phonegap.rxpal,Medical,MEDICAL
303,com.medplus.mobile.android,Medical,MEDICAL
304,com.NetmedsMarketplace.Netmeds,Medical,MEDICAL
305,com.apollo.android,Medical,MEDICAL
306,com.medlife.customer,Medical,MEDICAL
307,com.practo.fabric,Medical,MEDICAL
308,com.docsapp.patients,Medical,MEDICAL
309,com.main.drinsta,Medical,MEDICAL
310,com.practo.droid,Medical,MEDICAL
311,com.tatahealth.tatadhp,Medical,MEDICAL
312,com.apollo.patientapp,Medical,MEDICAL
313,com.phonegap.rxpal,Medical,MEDICAL
314,com.mfine,Medical,MEDICAL
315,bajajfinserv.in.hrx.app,Health & Fitness,HEALTH_AND_FITNESS
316,com.betaout.GOQii,Health & Fitness,HEALTH_AND_FITNESS
317,com.pixelnx.sam.jobportal,Business,BUSINESS
318,naukriApp.appModules.login,Business,BUSINESS
319,com.monsterindia.seeker.views,Business,BUSINESS
320,com.timesgroup.timesjobs,Business,BUSINESS
321,com.freshersworld.jobs,Education,EDUCATION
322,com.hirist.jobseeker,Business,BUSINESS
323,com.net.shine,Business,BUSINESS
324,com.indeed.android.jobsearch,Business,BUSINESS
325,com.glassdoor.app,Business,BUSINESS
326,com.apnatime,Business,BUSINESS
327,com.workexjobapp,Business,BUSINESS
328,in.workindia.nileshdungarwal.workindiaandroid,Business,BUSINESS
329,com.naukriGulf.app,Business,BUSINESS
330,in.gov.uidai.mAadhaarPlus,Tools,TOOLS
331,qrscanner.barcodescanner.barcodereader.qrcodereader,Tools,TOOLS
332,com.yablio.sendfilestotv,Tools,TOOLS
333,com.gamma.bubblelevel,Tools,TOOLS
334,com.piriform.ccleaner,Tools,TOOLS
335,com.gamebasic.decibel,Tools,TOOLS
336,com.vincentlee.compass,Tools,TOOLS
337,com.ktwapps.digitalcompass,Tools,TOOLS
338,com.staircase3.opensignal,Tools,TOOLS
339,app.melon.icompass,Tools,TOOLS
340,net.androgames.compass,Tools,TOOLS
341,sharefiles.sharemusic.shareapps.filetransfer,Tools,TOOLS
342,com.ovelin.guitartuna,Tools,TOOLS
343,com.amazon.storm.lightning.client.aosp,Tools,TOOLS
344,com.gamma.scan,Tools,TOOLS
345,com.techinnate.android.smsforwarder,Tools,TOOLS
346,com.suryance.smsforwarder,Tools,TOOLS
347,com.gawk.smsforwarder,Tools,TOOLS
348,com.moez.QKSMS.websmith.smsforwarder,Productivity,PRODUCTIVITY
349,com.zhaocw.woreplyen,Tools,TOOLS
350,com.mysms.android.mirror,Communication,COMMUNICATION
351,com.gearandroid.phoneleashfree,Communication,COMMUNICATION
352,com.microsoft.android.smsorganizer,Communication,COMMUNICATION
353,com.heavenecom.smartscheduler,Communication,COMMUNICATION
354,com.frzinapps.smsforward,Tools,TOOLS
355,com.riteshsahu.SMSBackupRestore,Tools,TOOLS
356,com.idea.backup.smscontacts,Tools,TOOLS
357,com.zegoggles.smssync,Tools,TOOLS
358,com.jerryzigo.smsbackup,Tools,TOOLS
359,com.gilapps.smsshare2,Productivity,PRODUCTIVITY
360,com.aomatatech.sms.messages.backup.restore.sharing.app,Tools,TOOLS
361,com.riteshsahu.SMSBackupRestorePro,Tools,TOOLS
362,com.mda.recover.deleted.messages,Productivity,PRODUCTIVITY
363,com.piandro.backupsms,Communication,COMMUNICATION
364,com.smsbackup.contactsbackuprestore,Tools,TOOLS
365,com.primol.appbackup,Tools,TOOLS
366,com.tekxperiastudios.pdfexporter,Productivity,PRODUCTIVITY
367,com.greenchills.superbackup,Productivity,PRODUCTIVITY
368,de.webtogo.xtransfer,Tools,TOOLS
369,net.techet.netanalyzerlite.an,Tools,TOOLS
370,abdelrahman.wifianalyzerpro,Tools,TOOLS
371,com.farproc.wifi.analyzer,Tools,TOOLS
372,com.pzolee.wifiinfo,Tools,TOOLS
373,com.vrem.wifianalyzer,Tools,TOOLS
374,com.vrem.wifianalyzer,Tools,TOOLS
375,com.wifi.signal.wifisignalmeter.wifisignalbooster,Tools,TOOLS
376,com.netgear.WiFiAnalytics,Tools,TOOLS
377,com.wifianalyzer.networktools.wifitest,Tools,TOOLS
378,com.signalmonitoring.wifimonitoring,Tools,TOOLS
379,com.ddm.iptools,Tools,TOOLS
380,cz.webprovider.wifianalyzer,Tools,TOOLS
381,com.wifianalyzer.networktools.networkanalyzer,Tools,TOOLS
382,com.keuwl.wifi,Tools,TOOLS
383,com.farproc.wifi.analyzer.classic,Tools,TOOLS
384,com.wifi.booster.wifi.manager.speedtest.wifianalyzer,Tools,TOOLS
385,net.techet.netanalyzer.an,Tools,TOOLS
386,info.lamatricexiste.networksearch,Tools,TOOLS
387,org.wifi.analyzer.network.boost,Tools,TOOLS
388,com.hicloud.android.clone,Tools,TOOLS
389,phone.clone.forall.android.fast.switchphone,Tools,TOOLS
390,com.dragster.production.switchphone,Tools,TOOLS
391,phone.clone.transfer.data.innovagic.technologies,Tools,TOOLS
392,com.copydata.phoneclonetransfer,Productivity,PRODUCTIVITY
393,com.transferphoneclone.clonephonedata,Productivity,PRODUCTIVITY
394,phone.cloner.clone.phone.all.data,Tools,TOOLS
395,com.lenovo.anyshare.cloneit,Tools,TOOLS
396,com.coloros.backuprestore,Productivity,PRODUCTIVITY
397,com.qiku.android.clone360,Tools,TOOLS
398,com.aomatatech.datatransferapp.filesharing,Tools,TOOLS
399,com.phone.expert.cloning.sender.receiveing,Tools,TOOLS
400,com.oneplus.backuprestore,Tools,TOOLS
401,com.sec.android.easyMover,Tools,TOOLS
402,com.vivo.easyshare,Tools,TOOLS
403,com.gibatekpro.imeigenerator,Tools,TOOLS
404,com.bobgearstudio.imei,Tools,TOOLS
405,snapapp.trackmymobile.findmyphone,Tools,TOOLS
406,com.edgedevstudio.imei_toolbox,Tools,TOOLS
407,sim.freeimei.unlock,Communication,COMMUNICATION
408,org.vndnguyen.imeianalyze,Tools,TOOLS
409,com.kalesoft.imeiphoneinfo,Tools,TOOLS
410,octabeans.maheshmanseta.imeiinfo,Tools,TOOLS
411,com.findmyphone.imeitracker,Tools,TOOLS
412,com.imsi.imei,Tools,TOOLS
413,com.son.jawad.imeichecker,Tools,TOOLS
414,com.imeitwk.chengerpro,Tools,TOOLS
415,com.technocorp.imeiverification,Productivity,PRODUCTIVITY
416,com.gibatekpro.imeiinfo,Tools,TOOLS
417,com.kerwinoyyx.app.IMEI,Tools,TOOLS
418,com.ilyas.ilyasapps.imeinumber,Tools,TOOLS
419,com.gerondesign.imei,Tools,TOOLS
420,marcus.myimei,Tools,TOOLS
421,com.servtified.imei_unlocker,Tools,TOOLS
422,com.edydev.imei,Tools,TOOLS
423,com.imeicommunity.android,Tools,TOOLS
424,sim.freeimei.unlock.secure,Communication,COMMUNICATION
425,com.sdcardformatter.wrongpasswordattempt,Tools,TOOLS
426,com.prodigiousapps.verificarimei,Productivity,PRODUCTIVITY
427,com.sciker.xposedmodules,Tools,TOOLS
428,nz.pbomb.xposed.spoofmydevice,Tools,TOOLS
429,com.xpos.edchecker,Tools,TOOLS
430,com.michy.wearmessengerx,Tools,TOOLS
431,com.xorware.network.s2g3g.xposed.switcher,Personalization,PERSONALIZATION
432,lfprodev.xposed.xstana,Personalization,PERSONALIZATION
433,eu.chylek.adam.fakewifi,Tools,TOOLS
434,com.zhihaofans.fake_xposed_installer,Tools,TOOLS
435,name.mikanoshi.customiuizer,Tools,TOOLS
436,com.mrchandler.disableprox,Tools,TOOLS
437,com.jozein.xedgepro,Tools,TOOLS
438,de.makuser.nexussms,Personalization,PERSONALIZATION
439,ru.gavrikov.hidemocklocations,Tools,TOOLS
440,com.jozein.xedge,Tools,TOOLS
441,com.hamzah.onehandmode,Personalization,PERSONALIZATION
442,com.wilco375.settingseditor,Tools,TOOLS
443,com.metris.xposed.bluetoothToolkitFree,Personalization,PERSONALIZATION
444,com.metris.xposed.bluetoothToolkitFree,Personalization,PERSONALIZATION
